metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
temporal.server.cache.entry_age_on_get.sum,count,,millisecond,,,0,temporal,cache entry age on get sum,
temporal.server.cache.entry_age_on_eviction.bucket,count,,,,,0,temporal,cache entry age on eviction bucket,
temporal.server.cache.entry_age_on_eviction.count,count,,,,,0,temporal,cache entry age on eviction count,
temporal.server.cache.entry_age_on_eviction.sum,count,,millisecond,,,0,temporal,cache entry age on eviction sum,
temporal.server.history.event_notification.queueing_latency.bucket,count,,,,,0,temporal,history event notification queueing latency bucket,
temporal.server.history.event_notification.queueing_latency.count,count,,,,,0,temporal,history event notification queueing latency count,
temporal.server.history.event_notification.queueing_latency.sum,count,,millisecond,,,0,temporal,history event notification queueing latency sum,
temporal.server.history.event_notification.fanout_latency.bucket,count,,,,,0,temporal,history event notification fanout latency bucket,
temporal.server.history.event_notification.fanout_latency.count,count,,,,,0,temporal,history event notification fanout latency count,
temporal.server.history.event_notification.fanout_latency.sum,count,,millisecond,,,0,temporal,history event notification fanout latency sum,
temporal.server.history.event_notification.inflight_message,gauge,,,,,0,temporal,history event notification inflight message,
temporal.server.history.event_notification.fail_delivery.count,count,,,,,0,temporal,history event notification fail delivery count,
temporal.server.archival.task_invalid_uri.count,count,,,,,0,temporal,archival task invalid uri count,
temporal.server.archiver.archive.latency.bucket,count,,,,,0,temporal,archiver archive latency bucket,
temporal.server.archiver.archive.latency.count,count,,,,,0,temporal,archiver archive latency count,
temporal.server.archiver.archive.latency.sum,count,,millisecond,,,0,temporal,archiver archive latency sum,
temporal.server.archiver.archive.target_latency.bucket,count,,,,,0,temporal,archiver archive target latency bucket,
temporal.server.archiver.archive.target_latency.count,count,,,,,0,temporal,archiver archive target latency count,
temporal.server.archiver.archive.target_latency.sum,count,,millisecond,,,0,temporal,archiver archive target latency sum,
temporal.server.shard_closed.count,count,,,,,0,temporal,shard closed count,
temporal.server.sharditem.created.count,count,,,,,0,temporal,sharditem created count,
temporal.server.sharditem.removed.count,count,,,,,0,temporal,sharditem removed count,
temporal.server.sharditem.acquisition_latency.bucket,count,,,,,0,temporal,sharditem acquisition latency bucket,
temporal.server.sharditem.acquisition_latency.count,count,,,,,0,temporal,sharditem acquisition latency count,
temporal.server.sharditem.acquisition_latency.sum,count,,millisecond,,,0,temporal,sharditem acquisition latency sum,
temporal.server.syncshard.remote.count,count,,,,,0,temporal,syncshard remote count,
temporal.server.syncshard.remote.failed.count,count,,,,,0,temporal,syncshard remote failed count,
temporal.server.task.errors.discarded.count,count,,,,,0,temporal,task errors discarded count,
temporal.server.task.skipped.count,count,,,,,0,temporal,task skipped count,
temporal.server.task.errors.version_mismatch.count,count,,,,,0,temporal,task errors version mismatch count,
temporal.server.task.dependency_task_not_completed.count,count,,,,,0,temporal,task dependency task not completed count,
temporal.server.task.errors.standby_retry_counter.count,count,,,,,0,temporal,task errors standby retry counter count,
temporal.server.task.errors.not_active_counter.count,count,,,,,0,temporal,task errors not active counter count,
temporal.server.task.errors.namespace_handover.count,count,,,,,0,temporal,task errors namespace handover count,
temporal.server.task.errors.corruption.count,count,,,,,0,temporal,task errors corruption count,
temporal.server.task.schedule_to_start_latency.bucket,count,,,,,0,temporal,task schedule to start latency bucket,
temporal.server.task.schedule_to_start_latency.count,count,,,,,0,temporal,task schedule to start latency count,
temporal.server.task.schedule_to_start_latency.sum,count,,millisecond,,,0,temporal,task schedule to start latency sum,
temporal.server.task.batch_complete_counter.count,count,,,,,0,temporal,task batch complete counter count,
temporal.server.task_rescheduler.pending_tasks.bucket,count,,,,,0,temporal,task rescheduler pending tasks bucket,
temporal.server.task_rescheduler.pending_tasks.count,count,,,,,0,temporal,task rescheduler pending tasks count,
temporal.server.task_rescheduler.pending_tasks.sum,count,,,,,0,temporal,task rescheduler pending tasks sum,
temporal.server.task_scheduler.throttled.count,count,,,,,0,temporal,task scheduler throttled count,
temporal.server.queue.latency_schedule.bucket,count,,,,,0,temporal,queue latency schedule bucket,
temporal.server.queue.latency_schedule.count,count,,,,,0,temporal,queue latency schedule count,
temporal.server.queue.latency_schedule.sum,count,,millisecond,,,0,temporal,queue latency schedule sum,
temporal.server.queue.reader.bucket,count,,,,,0,temporal,queue reader bucket,
temporal.server.queue.reader.count,count,,,,,0,temporal,queue reader count,
temporal.server.queue.reader.sum,count,,,,,0,temporal,queue reader sum,
temporal.server.queue.slice.bucket,count,,,,,0,temporal,queue slice bucket,
temporal.server.queue.slice.count,count,,,,,0,temporal,queue slice count,
temporal.server.queue.slice.sum,count,,,,,0,temporal,queue slice sum,
temporal.server.queue.actions.count,count,,,,,0,temporal,queue actions count,
temporal.server.activity.end_to_end_latency.bucket,count,,,,,0,temporal,activity end to end latency bucket,
temporal.server.activity.end_to_end_latency.count,count,,,,,0,temporal,activity end to end latency count,
temporal.server.activity.end_to_end_latency.sum,count,,millisecond,,,0,temporal,activity end to end latency sum,
temporal.server.ack_level.update.count,count,,,,,0,temporal,ack level update count,
temporal.server.ack_level.update.failed.count,count,,,,,0,temporal,ack level update failed count,
temporal.server.accept_workflow_update_message.count,count,,,,,0,temporal,accept workflow update message count,
