metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
temporal.server.history.archiver.blob_size.count,count,,,,,0,temporal,history archiver blob size count,
temporal.server.history.archiver.blob_size.sum,count,,byte,,,0,temporal,history archiver blob size sum,
temporal.server.history.workflow_execution_cache_latency.bucket,count,,,,,0,temporal,history workflow execution cache latency bucket,
temporal.server.history.workflow_execution_cache_latency.count,count,,,,,0,temporal,history workflow execution cache latency count,
temporal.server.history.workflow_execution_cache_latency.sum,count,,millisecond,,,0,temporal,history workflow execution cache latency sum,
temporal.server.visibility.archiver.archive.non_retryable_error.count,count,,,,,0,temporal,visibility archiver archive non retryable error count,
temporal.server.visibility.archiver.archive.transient_error.count,count,,,,,0,temporal,visibility archiver archive transient error count,
temporal.server.visibility.archiver.archive.success.count,count,,,,,0,temporal,visibility archiver archive success count,
temporal.server.scavenger.success.count,count,,,,,0,temporal,scavenger success count,
temporal.server.scavenger.errors.count,count,,,,,0,temporal,scavenger errors count,
temporal.server.scavenger.skips.count,count,,,,,0,temporal,scavenger skips count,
temporal.server.executions_outstanding,gauge,,,,,0,temporal,executions outstanding,
temporal.server.scavenger.validation.requests.count,count,,,,,0,temporal,scavenger validation requests count,
temporal.server.scavenger.validation.failures.count,count,,,,,0,temporal,scavenger validation failures count,
temporal.server.scavenger.validation.skips.count,count,,,,,0,temporal,scavenger validation skips count,
temporal.server.add_search_attributes.failures.count,count,,,,,0,temporal,add search attributes failures count,
temporal.server.batcher.processor_errors.count,count,,,,,0,temporal,batcher processor errors count,
temporal.server.batcher.operation_errors.count,count,,,,,0,temporal,batcher operation errors count,
temporal.server.elasticsearch.bulk_processor.requests.count,count,,,,,0,temporal,elasticsearch bulk processor requests count,
temporal.server.elasticsearch.bulk_processor.queued_requests.bucket,count,,,,,0,temporal,elasticsearch bulk processor queued requests bucket,
temporal.server.elasticsearch.bulk_processor.queued_requests.count,count,,,,,0,temporal,elasticsearch bulk processor queued requests count,
temporal.server.elasticsearch.bulk_processor.queued_requests.sum,count,,,,,0,temporal,elasticsearch bulk processor queued requests sum,
temporal.server.elasticsearch.bulk_processor.errors.count,count,,,,,0,temporal,elasticsearch bulk processor errors count,
temporal.server.elasticsearch.bulk_processor.corrupted_data.count,count,,,,,0,temporal,elasticsearch bulk processor corrupted data count,
temporal.server.elasticsearch.bulk_processor.duplicate_request.count,count,,,,,0,temporal,elasticsearch bulk processor duplicate request count,
temporal.server.elasticsearch.bulk_processor.request.latency.bucket,count,,,,,0,temporal,elasticsearch bulk processor request latency bucket,
temporal.server.elasticsearch.bulk_processor.request.latency.count,count,,,,,0,temporal,elasticsearch bulk processor request latency count,
temporal.server.elasticsearch.bulk_processor.request.latency.sum,count,,millisecond,,,0,temporal,elasticsearch bulk processor request latency sum,
temporal.server.elasticsearch.bulk_processor.commit.latency.bucket,count,,,,,0,temporal,elasticsearch bulk processor commit latency bucket,
temporal.server.elasticsearch.bulk_processor.commit.latency.count,count,,,,,0,temporal,elasticsearch bulk processor commit latency count,
temporal.server.elasticsearch.bulk_processor.commit.latency.sum,count,,millisecond,,,0,temporal,elasticsearch bulk processor commit latency sum,
temporal.server.elasticsearch.bulk_processor.wait_add.latency.bucket,count,,,,,0,temporal,elasticsearch bulk processor wait add latency bucket,
temporal.server.elasticsearch.bulk_processor.wait_add.latency.count,count,,,,,0,temporal,elasticsearch bulk processor wait add latency count,
temporal.server.elasticsearch.bulk_processor.wait_add.latency.sum,count,,millisecond,,,0,temporal,elasticsearch bulk processor wait add latency sum,
temporal.server.elasticsearch.bulk_processor.wait_start.latency.bucket,count,,,,,0,temporal,elasticsearch bulk processor wait start latency bucket,
temporal.server.elasticsearch.bulk_processor.wait_start.latency.count,count,,,,,0,temporal,elasticsearch bulk processor wait start latency count,
temporal.server.elasticsearch.bulk_processor.wait_start.latency.sum,count,,millisecond,,,0,temporal,elasticsearch bulk processor wait start latency sum,
temporal.server.elasticsearch.bulk_processor.bulk_size.bucket,count,,,,,0,temporal,elasticsearch bulk processor bulk size bucket,
temporal.server.elasticsearch.bulk_processor.bulk_size.count,count,,,,,0,temporal,elasticsearch bulk processor bulk size count,
temporal.server.elasticsearch.bulk_processor.bulk_size.sum,count,,,,,0,temporal,elasticsearch bulk processor bulk size sum,
temporal.server.elasticsearch.document.parse_failures_counter.count,count,,,,,0,temporal,elasticsearch document parse failures counter count,
temporal.server.elasticsearch.document.generate_failures_counter.count,count,,,,,0,temporal,elasticsearch document generate failures counter count,
temporal.server.catchup.ready_shard_count,gauge,,,,,0,temporal,catchup ready shard count,
temporal.server.handover.ready_shard_count,gauge,,,,,0,temporal,handover ready shard count,
temporal.server.replicator.messages.count,count,,,,,0,temporal,replicator messages count,
temporal.server.replicator.errors.count,count,,,,,0,temporal,replicator errors count,
temporal.server.replicator.latency.bucket,count,,,,,0,temporal,replicator latency bucket,
temporal.server.replicator.latency.count,count,,,,,0,temporal,replicator latency count,
temporal.server.replicator.latency.sum,count,,millisecond,,,0,temporal,replicator latency sum,
temporal.server.replicator.dlq_enqueue_fails.count,count,,,,,0,temporal,replicator dlq enqueue fails count,
temporal.server.namespace_replication.dlq_enqueue_requests.count,count,,,,,0,temporal,namespace replication dlq enqueue requests count,
temporal.server.parent_close_policy_processor.requests.count,count,,,,,0,temporal,parent close policy processor requests count,
temporal.server.parent_close_policy_processor.errors.count,count,,,,,0,temporal,parent close policy processor errors count,
temporal.server.namespace_replication.task_ack_level,gauge,,,,,0,temporal,namespace replication task ack level,
temporal.server.namespace_dlq.ack_level,gauge,,,,,0,temporal,namespace dlq ack level,
temporal.server.namespace_dlq.max_level,gauge,,,,,0,temporal,namespace dlq max level,
temporal.server.persistence.errors.count,count,,,,Number of persistence errors.,0,temporal,persistence errors count,
temporal.server.persistence.errors.resource_exhausted.count,count,,,,,0,temporal,persistence errors resource exhausted count,
temporal.server.visibility.persistence.requests.count,count,,,,,0,temporal,visibility persistence requests count,
temporal.server.visibility.persistence.error_with_type.count,count,,,,,0,temporal,visibility persistence error with type count,
temporal.server.visibility.persistence.errors.count,count,,,,,0,temporal,visibility persistence errors count,
temporal.server.visibility.persistence.resource_exhausted.count,count,,,,,0,temporal,visibility persistence resource exhausted count,
temporal.server.visibility.persistence.latency.bucket,count,,,,,0,temporal,visibility persistence latency bucket,
temporal.server.visibility.persistence.latency.count,count,,,,,0,temporal,visibility persistence latency count,
temporal.server.visibility.persistence.latency.sum,count,,millisecond,,,0,temporal,visibility persistence latency sum,
temporal.server.dynamic_worker_pool.scheduler_dequeued_tasks.count,count,,,,,0,temporal,dynamic worker pool scheduler dequeued tasks count,
temporal.server.dynamic_worker_pool.scheduler_rejected_tasks.count,count,,,,,0,temporal,dynamic worker pool scheduler rejected tasks count,
temporal.server.host.rps_limit,gauge,,,,,0,temporal,host rps limit,
temporal.server.namespace_host.rps_limit,gauge,,,,,0,temporal,namespace host rps limit,
temporal.server.handover_wait_latency.bucket,count,,,,,0,temporal,handover wait latency bucket,
temporal.server.handover_wait_latency.count,count,,,,,0,temporal,handover wait latency count,
temporal.server.handover_wait_latency.sum,count,,millisecond,,,0,temporal,handover wait latency sum,
